State,School District,District ID,Year,PctBW,AIAN,Asian,API,Asian,HiPIs,Hisp,Black,White,2MoRac,Total,LEP
CA,Galt Joint Union Elementary,614790,2009,12.50%,0.00%,3.00%,3.00%,0.00%,0.00%,6.10%,18.20%,5.70%,0.00%,6.70%,3.80%
CA,Garden Grove Unified,614880,2009,0.40%,0.00%,0.40%,0.00%,0.40%,1.20%,1.20%,1.20%,0.80%,0.00%,0.90%,1.00%
CA,Garvey Elementary,614940,2009,0.00%,0.00%,0.70%,0.70%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,2.10%,2.10%
CA,Gateway Unified,614950,2009,9.80%,10.00%,6.70%,0.00%,7.70%,0.00%,5.50%,18.20%,8.40%,0.00%,8.20%,0.00%
CA,Gerber Union Elementary,615090,2009,-13.50%,0.00%,0.00%,0.00%,0.00%,0.00%,4.50%,0.00%,13.50%,0.00%,8.40%,0.00%
CA,Gilroy Unified,615180,2009,1.10%,0.00%,3.00%,0.00%,2.10%,16.70%,10.90%,6.90%,5.80%,7.20%,9.70%,10.30%
CA,Glendale Unified,615240,2009,8.50%,0.00%,2.50%,2.50%,0.00%,0.00%,9.60%,13.90%,5.40%,0.00%,5.90%,0.00%
CA,Glendora Unified,615270,2009,-1.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2.50%,0.00%,1.70%,0.00%,2.00%,1.60%
CA,Goleta Union Elementary,615510,2009,-0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.80%,0.00%,0.30%,0.00%,0.70%,0.50%
CA,Gravenstein Union Elementary,615840,2009,-1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.90%,0.00%,1.60%,0.00%
CA,Green Point Elementary,615990,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Greenfield Union School District,616050,2009,13.20%,0.00%,3.90%,0.00%,4.20%,0.00%,12.40%,28.00%,14.80%,18.20%,13.80%,10.80%
CA,Grossmont Union High School District,616230,2009,12.60%,10.90%,5.20%,5.20%,0.00%,0.00%,10.00%,21.90%,9.30%,0.00%,10.30%,12.30%
CA,Hacienda La Puente Unified,616325,2009,6.00%,0.00%,1.20%,1.20%,0.00%,0.00%,5.20%,11.50%,5.60%,0.00%,4.80%,4.40%
CA,Hanford Elementary,616470,2009,9.80%,16.70%,3.20%,0.00%,3.30%,0.00%,9.90%,18.80%,9.10%,0.00%,11.10%,8.60%
CA,Hanford Joint Union High School District,616500,2009,14.50%,33.30%,8.10%,0.00%,8.10%,0.00%,18.10%,26.50%,12.00%,0.00%,16.30%,45.80%
CA,Happy Valley Elementary,616560,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
CA,Hawthorne,616680,2009,4.00%,0.00%,3.50%,3.50%,0.00%,0.00%,3.30%,9.50%,5.50%,0.00%,4.90%,3.50%
CA,Hayward Unified,616740,2009,0.20%,0.00%,0.10%,0.00%,0.00%,0.20%,0.10%,0.50%,0.30%,0.00%,0.20%,0.10%
